School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Arkansas,10,34.9,25.4,38.3,66.3,259.6,1.8,41.6,192.1,4.6,2.1,79.9,451.7,5.7,13.4,10.3,1.8,25.5,6.3,53.5,0.5,1.3,1.8,SEC,2020
LSU,10,34.9,19.8,33.2,59.6,323,2.4,34.5,169.1,4.9,1.8,67.7,492.1,7.3,12,8.7,1.2,21.9,5.6,43.5,0.9,1.3,2.2,SEC,2020
South Carolina,10,36,19.3,29,66.6,256.1,2.1,39.8,195.4,4.9,2.3,68.8,451.5,6.6,10.6,11.3,1.5,23.4,5.7,54,0.3,0.8,1.1,SEC,2020
Vanderbilt,9,37.3,24.6,33.4,73.4,296.4,2.7,33.6,191.4,5.7,2.1,67,487.9,7.3,13,10.2,1.1,24.3,6.6,55.7,0.8,0.2,1,SEC,2020
Ole Miss,10,38.3,26.3,38.7,68,312.1,1.9,39.1,206.9,5.3,2.8,77.8,519,6.7,15,10.8,1.6,27.4,5,48.6,0.7,0.6,1.3,SEC,2020
Arizona State,13,20.8,17.6,29.4,59.9,194.8,1,36.2,132.8,3.7,1.4,65.5,327.7,5,9.1,7.7,2.7,19.5,5.1,46.8,0.3,1.2,1.5,PAC-12,2021
California,12,22.3,20.2,34.3,58.9,229.5,1.7,34.3,140.6,4.1,1.1,68.6,370.1,5.4,10.3,9,1.9,21.3,5.7,48.6,0.6,1.1,1.7,PAC-12,2021
Utah,14,22.6,19.9,32.4,61.5,222.3,1.6,32.8,121.1,3.7,0.8,65.2,343.4,5.3,9.6,7.4,1.4,18.4,7.4,66,0.4,0.7,1.1,PAC-12,2021
Washington,12,22.7,16.2,26.3,61.4,143.3,0.5,40.5,193.7,4.8,1.8,66.8,337,5,6.4,10.6,1.3,18.3,6.8,61.3,0.5,0.8,1.3,PAC-12,2021
Washington State,13,24.2,20,33.4,59.9,216.8,1.2,34.5,161.8,4.7,1.5,67.9,378.6,5.6,9.8,9.3,1.2,20.4,5.5,41.8,1.1,1.2,2.2,PAC-12,2021
Oregon State,13,25.8,20.5,33.2,61.9,243.5,1.7,34.6,144.1,4.2,1.5,67.8,387.6,5.7,10.9,9.1,2.3,22.3,6.2,50.5,0.3,1.2,1.5,PAC-12,2021
Colorado,12,26.7,20.6,33.6,61.3,242.3,1.4,35.3,179.7,5.1,1.8,68.9,422,6.1,10.3,10.3,1.8,22.3,6.9,65.6,0.3,0.8,1.1,PAC-12,2021
UCLA,12,26.8,23.2,37,62.6,260.3,1.3,32.8,127.9,3.9,2,69.8,388.2,5.6,11,8.3,2.3,21.5,6,44,0.6,1,1.6,PAC-12,2021
Oregon,14,27,21.1,34.6,61,241.3,1.6,35.9,143.2,4,1.7,70.5,384.5,5.5,11.6,8.7,2.1,22.5,8.1,61.9,0.4,1.2,1.6,PAC-12,2021
Arizona,12,31.4,13.7,23.6,58,190.1,2.1,39.4,182.4,4.6,1.4,63,372.5,5.9,7.8,9.1,2.4,19.3,6.8,72.3,0.2,0.3,0.5,PAC-12,2021
USC,12,31.8,18,27.6,65.3,241.8,1.7,35.9,168.3,4.7,2.3,63.5,410.1,6.5,10.6,8.2,2.5,21.3,7.2,68.2,0.4,1.2,1.6,PAC-12,2021
Stanford,12,32.4,17.7,28.4,62.2,215.6,1.3,40.5,237.6,5.9,2.8,68.9,453.2,6.6,9.3,12.7,1.3,23.2,6.6,68.4,0.3,0.5,0.8,PAC-12,2021
Clemson,13,14.8,20,35,57.1,208.8,0.8,33.7,97.5,2.9,0.5,68.7,306.3,4.5,9.8,5.8,1.6,17.2,8.7,68.4,0.5,0.9,1.4,ACC,2021
North Carolina State,12,19.7,18.1,34.3,52.7,207.6,1.6,32.5,124.1,3.8,0.8,66.8,331.7,5,9,5.8,2.7,17.5,6.9,57.2,0.1,1.3,1.3,ACC,2021
Boston College,12,22.2,14.9,25.8,57.9,173.5,1.2,37.4,170.4,4.6,1.3,63.2,343.9,5.4,7.8,8.8,1.9,18.6,7,61,0.6,0.8,1.4,ACC,2021
Pitt,14,23.6,21.6,36.1,59.7,264.3,1.9,33.7,88.7,2.6,1.1,69.9,353,5.1,11.6,5.7,2.6,19.9,7.2,64.8,0.5,1.1,1.6,ACC,2021
Virginia Tech,13,25.3,17.8,30.2,59.2,224.2,1.5,36.7,169.5,4.6,1.5,66.8,393.7,5.9,9.5,9.4,1.5,20.5,6.4,56.2,0.3,0.8,1.1,ACC,2021
Syracuse,12,26.3,18.6,28.1,66.2,204.3,1.8,36.3,127.9,3.5,1,64.3,332.2,5.2,8.5,8.2,1.8,18.4,4.7,44.6,0.3,0.3,0.6,ACC,2021
Florida State,12,26.5,19.3,33.1,58.2,233.2,2.1,39.5,145.8,3.7,1.3,72.6,379,5.2,10.5,7.9,2.2,20.6,8.5,70.7,0.5,1.2,1.7,ACC,2021
Louisville,13,27.3,21.7,33.2,65.3,245.6,1.5,36.2,158.1,4.4,1.8,69.4,403.7,5.8,11.4,9,2,22.4,5.5,45.2,0.4,0.8,1.2,ACC,2021
Miami (FL),12,28.4,22.5,36.3,61.9,250.6,1.8,35.8,139,3.9,1.3,72.1,389.6,5.4,10,8.7,1.9,20.6,7.8,72.3,0.3,0.7,0.9,ACC,2021
Wake Forest,14,28.9,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,9.8,10.6,2,22.4,7.6,67,1,1.1,2.1,ACC,2021
Virginia,12,31.8,18.8,31.3,59.8,240.2,2.2,39,225.8,5.8,1.8,70.3,466,6.6,11.1,9.9,2.4,23.4,6.6,59.3,0.5,0.7,1.2,ACC,2021
North Carolina,13,32.1,18,29.6,60.8,238,2.1,38.7,180.6,4.7,1.8,68.3,418.6,6.1,10.2,10.3,2.6,23,6.2,54.8,0.3,0.8,1.2,ACC,2021
