School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
Purdue,3,9,-2.5,-3.83,-6.33,38.08,16.71,6.53,5.43,5.71,3.41,6.08,4.3,BIG-TEN,2014
Alabama,12,2,9.46,10.88,20.34,57.12,-0.11,10.71,4.5,6.35,1.96,8.23,3.4,SEC,2014
Georgia,10,3,10.88,7.96,18.84,59.13,3.93,9.85,4.09,7.3,3.12,8.27,3.6,SEC,2014
Ole Miss,9,4,0.87,15.93,16.8,47.62,-4.36,9.79,4.17,5.63,2.19,7.51,3.13,SEC,2014
Mississippi State,10,3,8.49,6.55,15.04,55.06,4.93,10.35,5.02,6.32,3.08,8.02,4.27,SEC,2014
Auburn,8,5,11.92,3.07,14.99,56.34,6.61,11.13,4.96,6.77,3.07,8.31,3.96,SEC,2014
Arkansas,7,6,4.3,10.62,14.91,51.57,-0.01,8.85,4.8,6.3,2.03,7.31,3.48,SEC,2014
Missouri,11,3,2.51,9.51,12.02,44.7,3.23,8.1,4.69,5.8,2.25,6.76,3.45,SEC,2014
LSU,8,5,-1.43,12.18,10.75,46,-0.92,9.57,3.64,5.91,3.12,7.08,3.33,SEC,2014
Texas A&M,8,5,7.38,2.58,9.96,54.86,11.77,9.54,5.15,5.85,4.05,7.78,4.56,SEC,2014
Tennessee,7,6,3.72,4.42,8.13,47.22,7,8.28,5.12,4.96,3.02,6.47,3.92,SEC,2014
Florida,7,5,0.92,7.21,8.12,46.71,4.54,8.32,4.34,5.44,2.07,6.57,3.21,SEC,2014
South Carolina,7,6,9.39,-2.69,6.7,50.68,13.61,9.81,5.76,5.72,4.32,7.71,4.93,SEC,2014
Kentucky,5,7,3.24,-1.68,1.55,47.83,16.41,8.74,5.36,5.38,3.7,6.94,4.39,SEC,2014
Vanderbilt,3,9,-6.74,-0.23,-6.97,34.21,16.52,7.72,5.97,4.53,3.43,6.05,4.4,SEC,2014
Stanford,12,2,12.14,6.67,18.81,56.49,3.59,11.37,4.77,6.47,2.91,8.08,3.96,PAC-12,2015
USC,8,6,4.68,6.85,11.53,52.08,3.33,10.13,5.25,5.81,2.36,7.64,3.86,PAC-12,2015
Utah,10,3,3.23,8.16,11.39,47.92,2.06,8.63,4.81,5.61,1.81,6.66,3.53,PAC-12,2015
Oregon,9,4,18.61,-7.56,11.05,61.92,19.96,10.82,5.07,7.37,3.79,8.52,4.56,PAC-12,2015
Washington,7,6,-2.6,12.33,9.73,46.25,-2.1,9.51,4.64,5.84,1.89,7.32,3.23,PAC-12,2015
California,8,5,10.98,-1.44,9.54,56.65,12.26,10.84,5.66,6.01,3.4,8.48,4.59,PAC-12,2015
UCLA,8,5,4.04,4.7,8.73,49.45,5.91,9.08,3.62,6.34,3.12,7.53,3.35,PAC-12,2015
Washington State,9,4,4.8,1.75,6.55,46.16,9.71,8.43,4.64,4.56,3.54,7.05,4.17,PAC-12,2015
Arizona State,6,7,9.54,-4.63,4.91,52.86,14.58,9.25,6.55,5.61,2.26,7.27,4.67,PAC-12,2015
Arizona,7,6,7.88,-6.61,1.27,54.96,20.91,9.3,6.32,6.84,3.34,7.84,4.74,PAC-12,2015
Colorado,4,9,-5.51,2,-3.51,39.05,9.95,8.34,4.75,4.94,3.69,6.36,4.26,PAC-12,2015
Oregon State,2,10,-6.1,-1.56,-7.66,37.12,17.33,7.76,6.12,6.01,3.79,6.64,4.81,PAC-12,2015
Clemson,14,1,12.53,6.35,18.88,59.12,3.34,10.49,4.31,6.38,2,8.07,3.19,ACC,2015
Florida State,10,3,4.84,8.75,13.59,50.27,1.65,9.68,3.93,6.63,2.65,8.01,3.44,ACC,2015
North Carolina,11,3,10.46,2.27,12.73,57.28,8.48,10.74,4.32,7.14,4.08,8.61,4.27,ACC,2015
Louisville,8,5,4.03,2.66,6.69,48.21,7.75,9.79,5,6.03,2,7.57,3.56,ACC,2015
Pitt,8,5,3.92,2.4,6.32,45.99,8.12,9.06,5.03,6.04,2.96,7.09,4.22,ACC,2015
Miami (FL),8,5,0.59,5.1,5.69,44.97,9.89,9.89,4.43,4.82,4,7.22,4.26,ACC,2015
North Carolina State,7,6,4.1,0.97,5.06,50.3,10.47,8.55,5.28,6.21,3.22,7.18,4.23,ACC,2015
Virginia Tech,7,6,4.52,0.52,5.04,48.03,9.54,9.31,5.31,4.93,3.35,6.64,4.25,ACC,2015
Duke,8,5,2.7,0.24,2.94,48.43,12.15,8.08,6.04,5.96,2.64,6.82,4.35,ACC,2015
Georgia Tech,3,9,-1.32,2.75,1.43,47.29,7.49,9.57,5.18,6.51,3.29,7.26,4.23,ACC,2015
Virginia,4,8,0.56,-1.51,-0.95,43.75,12.81,8.97,6.09,5.31,3,6.92,4.63,ACC,2015
Syracuse,4,8,2.92,-4.43,-1.51,47.89,15.18,8.26,6.1,6.15,3.5,6.85,4.8,ACC,2015
Boston College,3,9,-12.87,11.15,-1.73,33.76,-1.69,7.1,4.45,5.28,1.17,5.79,2.74,ACC,2015
Wake Forest,3,9,-9.24,5.54,-3.7,35.02,5.83,8.44,5.38,4.41,2.54,6.23,3.97,ACC,2015
Oklahoma,11,2,8.23,9.6,17.84,59.24,1.53,10.92,3.91,6.13,2.69,8.12,3.3,BIG-12,2015
Baylor,10,3,12.69,0.39,13.08,60.81,10.82,11.03,4.99,6.63,2.84,8.22,3.85,BIG-12,2015
Texas Christian,11,2,8.94,2.46,11.39,54.96,8.4,10.34,4.36,5.78,3.07,7.89,3.73,BIG-12,2015
Oklahoma State,10,3,9.4,-0.9,8.5,54.57,12.94,10.59,5.66,4.59,3.23,7.65,4.31,BIG-12,2015
West Virginia,8,5,1.96,5.64,7.59,47.96,5.5,9.14,5.21,5.83,2.66,7.13,3.86,BIG-12,2015
Texas Tech,7,6,16.94,-13.9,3.04,61.28,26.33,9.72,5.89,6.51,5.07,8.22,5.5,BIG-12,2015
Kansas State,6,7,1.53,0.3,1.83,44.11,12.82,8.15,6.08,4.88,3.32,6.12,4.7,BIG-12,2015
Texas,5,7,-2.1,3.19,1.09,41.55,8.62,8.51,4.89,6.04,3.28,6.83,3.87,BIG-12,2015
Iowa State,3,9,-1.1,-1.05,-2.14,40.86,13.01,8.42,5.84,5.49,3.56,6.73,4.69,BIG-12,2015
Kansas,0,12,-12.01,-3.21,-15.22,30.61,25.37,7.4,6.51,4.1,4.52,5.66,5.4,BIG-12,2015
Ohio State,12,1,6.45,14.28,20.73,52.8,-2.61,9.59,3.88,6.88,2.07,7.76,3.07,BIG-TEN,2015
Michigan,10,3,4.17,12.17,16.34,50.42,-0.45,9.57,3.72,5.72,2.28,7.28,3.13,BIG-TEN,2015
Michigan State,12,2,4.5,10.87,15.36,47.73,1.25,9.43,4.87,5.24,2.04,6.87,3.77,BIG-TEN,2015
Wisconsin,10,3,-1.85,12.7,10.85,43.73,-1.12,8.96,4.29,5.32,2.01,6.81,3.27,BIG-TEN,2015
Iowa,12,2,3.7,7.1,10.8,47.34,5.71,9.61,4.93,5.71,2.43,7.09,3.88,BIG-TEN,2015
Northwestern,10,3,-5.11,12.41,7.3,37.95,1.88,7.16,3.92,5.44,2.39,5.95,3.3,BIG-TEN,2015
Nebraska,6,7,8.56,-2.01,6.56,51.51,11.7,9.87,5.82,6,2.75,7.68,4.65,BIG-TEN,2015
Penn State,7,6,-0.65,7.11,6.46,42.88,5.82,8.99,4.23,5.6,2.49,7.04,3.55,BIG-TEN,2015
Minnesota,6,7,0.74,1.72,2.46,43.01,9.65,8.95,4.3,5.65,3.1,7.05,3.7,BIG-TEN,2015
Indiana,6,7,12.97,-10.71,2.26,53.86,21.87,10,5.87,6.03,4.17,7.6,5.2,BIG-TEN,2015
Illinois,5,7,-4.43,5.61,1.18,41.32,8.22,7.81,4.09,5.4,3.14,6.51,3.69,BIG-TEN,2015
Maryland,3,9,1.81,-3.89,-2.08,44.35,15.99,7.41,5.93,7.01,2.47,6.97,4.11,BIG-TEN,2015
Rutgers,4,8,0.64,-4.2,-3.57,44.51,19.67,9.29,7.19,5.73,3.98,7,5.65,BIG-TEN,2015
Purdue,2,10,1.05,-6.97,-5.92,43.56,20.03,7.76,5.79,5.16,4.17,6.32,4.98,BIG-TEN,2015
Alabama,14,1,9.34,14.38,23.72,56.01,-3.79,9.84,3.87,6.33,1.16,7.65,2.7,SEC,2015
LSU,9,3,6.61,8.44,15.04,50.76,2.24,9.83,3.92,7.28,2.31,8.13,3.26,SEC,2015
Ole Miss,10,3,8.16,6.25,14.42,58.84,5.06,10.87,4.33,6.55,2.17,8.63,3.43,SEC,2015
Tennessee,9,4,9.07,4.87,13.94,54.89,5.33,9.03,4.73,6.18,3.07,7.2,3.98,SEC,2015
Mississippi State,9,4,8.45,5.14,13.59,53.37,5.4,10.33,4.71,5.91,2.92,8.13,3.75,SEC,2015
Arkansas,8,5,11.32,1.47,12.79,55.22,9.24,11.48,6.49,6.4,2.44,8.43,4.65,SEC,2015
