School,G,Pts,PassCmp,PassAtt,CompPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotPlays,TotYds,TotAvg,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenYds,OffFum,OffInt,TotTO,Conference,Year
North Carolina State,12,33.1,24,36.9,65,288.4,2.9,30.9,126.6,4.1,0.9,67.8,415,6.1,12.9,6.6,1.9,21.4,7.4,64.5,0.3,0.5,0.8,ACC,2021
Louisville,13,31.6,17,27.9,60.9,236.5,1.6,38.8,210.2,5.4,2.2,66.7,446.7,6.7,10.3,9.2,1.5,21.1,6.2,55.3,0.5,0.5,1,ACC,2021
Florida State,12,27.6,17.4,28.3,61.5,201.6,1.7,37.2,177.8,4.8,1.8,65.5,379.4,5.8,9.2,9.1,2.5,20.7,6.9,62.5,0.8,1,1.8,ACC,2021
Clemson,13,26.3,17.5,31.8,55.2,191.2,0.9,37.2,169.6,4.6,2,69,360.8,5.2,9,8.8,2,19.8,6.1,50.5,0.6,0.8,1.5,ACC,2021
Syracuse,12,24.9,13,23.9,54.4,153,0.8,40.8,214.3,5.3,2.3,64.7,367.3,5.7,6.8,11.1,1.8,19.6,7,57.7,0.5,0.5,1,ACC,2021
Boston College,12,24.7,14.1,25.3,55.6,184.8,1.1,39.2,166.9,4.3,1.8,64.5,351.7,5.5,7.3,10.1,1.9,19.3,5.3,49.3,0.5,0.9,1.4,ACC,2021
Georgia Tech,12,24,17.1,28.5,59.9,197.9,1.5,36.9,169.3,4.6,1.3,65.4,367.2,5.6,8.7,8.5,1.8,18.8,6.1,51.2,0.4,0.8,1.3,ACC,2021
Virginia Tech,13,23.7,13.3,24.3,54.7,176.4,1.3,40.9,185.3,4.5,1.2,65.2,361.7,5.5,7.7,9.5,1.5,18.8,5.4,45.9,0.5,0.4,0.9,ACC,2021
Duke,12,22.8,22.1,34.2,64.6,237.9,0.8,43.4,181.2,4.2,1.8,77.6,419.1,5.4,10.9,9.3,1.7,21.8,6.5,61.7,1,0.8,1.8,ACC,2021
Oklahoma,13,39.1,21.5,31,69.2,263.5,2.5,34.2,188,5.5,2.2,65.2,451.5,6.9,12.2,8.5,1.7,22.5,6.7,56.1,0.3,0.7,1,BIG-12,2021
Texas,12,35.3,18.1,28.8,62.7,225.4,2.4,37.8,199.4,5.3,2.1,66.7,424.8,6.4,9.5,9.8,1.1,20.3,5.8,48.3,0.6,0.8,1.4,BIG-12,2021
Baylor,14,31.6,16.9,26.1,64.9,203.1,1.7,40.1,220.4,5.5,2.1,66.2,423.5,6.4,8.6,11.1,1,20.7,5.4,48.4,0.6,0.5,1.1,BIG-12,2021
Iowa State,13,31.3,24.1,34.3,70.2,263.8,1.7,31.5,160.8,5.1,1.9,65.8,424.7,6.5,12.6,7.2,1.7,21.5,4.8,38.6,0.4,0.7,1.1,BIG-12,2021
Oklahoma State,14,31.1,19.6,32,61.2,231.9,1.6,44.2,185.9,4.2,1.9,76.2,417.7,5.5,11.2,10.1,2.5,23.8,6,55.8,0.6,0.9,1.5,BIG-12,2021
Texas Tech,13,30.3,18.9,29.9,63.2,257.2,1.4,33.5,159.2,4.8,2.3,63.4,416.5,6.6,10,8.2,1.4,19.6,5.2,44.6,0.7,0.8,1.5,BIG-12,2021
TCU,12,28.7,16.7,25.8,64.5,239.6,1.6,39.1,197,5,1.8,64.9,436.6,6.7,9.9,9.6,1.6,21.1,7.1,61.4,0.8,0.5,1.3,BIG-12,2021
Kansas State,13,27.5,15.7,23.9,65.6,199.2,1.1,33.5,162.5,4.9,2.2,57.4,361.7,6.3,8.3,8.6,1.1,18,5.4,45.5,0.5,0.5,1.1,BIG-12,2021
West Virginia,13,25.2,22.3,34.3,65,247.9,1.5,34.7,123.2,3.5,1.5,69,371.1,5.4,11.4,8.3,1.7,21.4,5.2,43.2,0.6,0.9,1.5,BIG-12,2021
Kansas,12,20.8,16.3,26.4,61.5,184.8,1.3,36.1,141.4,3.9,1.3,62.5,326.3,5.2,8.3,7.1,0.9,16.3,4.1,33.7,0.3,0.8,1.1,BIG-12,2021
Ohio State,13,45.7,26.8,38,70.6,380.9,3.5,32.3,180.8,5.6,1.8,70.3,561.7,8,16.5,9,1.2,26.8,6.5,59.2,0.2,0.6,0.8,BIG-TEN,2021
Michigan,14,35.8,17.7,28.2,62.8,228.7,1.5,41.1,214.4,5.2,2.8,69.3,443.1,6.4,8.6,11.7,1.5,21.9,4.9,41.5,0.4,0.6,1,BIG-TEN,2021
Michigan State,13,31.8,18.7,30.8,60.8,253.1,2.1,36.7,176.5,4.8,1.8,67.5,429.6,6.4,10.5,8.5,1.8,20.8,6.9,63.9,0.5,0.8,1.3,BIG-TEN,2021
Maryland,13,29.3,26.1,37.6,69.3,304.6,2.1,33.2,137.3,4.1,1.5,70.8,441.9,6.2,12.6,9.4,1.3,23.3,6.8,57.2,0.5,0.9,1.4,BIG-TEN,2021
Purdue,13,29.1,31.3,44.3,70.7,355.4,2.7,29.7,84.8,2.9,0.5,74,440.2,5.9,17.1,5.1,1.9,24,4.5,42.8,0.5,0.9,1.5,BIG-TEN,2021
Nebraska,12,27.9,17.9,28.5,62.9,266.4,1.2,40.8,181.2,4.4,2.6,69.3,447.6,6.5,11.2,9.1,1.4,21.7,5.3,45,0.6,0.9,1.5,BIG-TEN,2021
Minnesota,13,25.5,11.7,19.8,59.1,162,0.9,45.8,199.3,4.3,2.1,65.6,361.3,5.5,7.2,11.2,1.5,20,4.5,45.3,0.3,0.7,1,BIG-TEN,2021
Wisconsin,13,25.4,13.6,23.1,59,160.2,0.8,43.3,211.1,4.9,2,66.4,371.2,5.6,8,10.5,1.5,20.1,5.4,43.6,0.8,1,1.8,BIG-TEN,2021
Penn State,13,25,22.4,37.4,59.9,268.5,1.9,33.6,107.8,3.2,0.8,71,376.4,5.3,12.2,7,1.2,20.3,5.4,46.6,0.4,0.8,1.2,BIG-TEN,2021
Iowa,14,23.4,15.9,28.9,55,180.1,0.9,36.1,123.8,3.4,1.3,65,303.9,4.7,8.8,6.1,1.7,16.6,4.1,36.1,0.6,0.8,1.4,BIG-TEN,2021
Illinois,12,20.2,13.8,26.8,51.2,156.2,1.1,38.8,173.8,4.5,1,65.7,330,5,7.3,8.5,1.8,17.6,5,52.8,0.5,0.5,1,BIG-TEN,2021
Rutgers,13,19.7,17.8,30.3,58.6,172.2,0.7,38.4,138.6,3.6,1.5,68.7,310.8,4.5,6.9,9.3,1.2,17.5,5,40.7,0.3,0.8,1.1,BIG-TEN,2021
Indiana,12,17.3,16.6,32.5,51,175.5,0.8,35.3,116.3,3.3,1.1,67.8,291.8,4.3,8.1,7.3,1.9,17.3,4.7,41.3,0.6,1.3,1.8,BIG-TEN,2021
Northwestern,12,16.6,17.3,30.4,57,177.3,1.1,37.6,145.1,3.9,1,68,322.4,4.7,7.1,9.2,1.1,17.3,4.7,41.9,0.7,1.2,1.8,BIG-TEN,2021
Alabama,15,39.9,25.3,38.1,66.5,338.2,3.2,36.5,150.1,4.1,1.4,74.5,488.3,6.6,14.3,8.7,1.5,24.4,7.1,65.9,0.5,0.5,0.9,SEC,2021
Tennessee,13,39.3,18.7,28.9,64.6,257.1,2.5,44.3,218.2,4.9,2.3,73.2,475.3,6.5,9.6,12.5,2.2,24.3,6.8,60.6,0.8,0.2,1,SEC,2021
Georgia,15,38.6,17.6,27.1,64.9,251.9,2.6,36.1,191.2,5.3,1.9,63.2,443.1,7,10.9,10,1.8,22.7,5.1,43.2,0.3,0.8,1.1,SEC,2021
Ole Miss,13,33.7,22,33,66.7,274.8,1.6,45.2,218,4.8,2.5,78.2,492.8,6.3,12,12.5,1.6,26.1,9.1,75.6,0.3,0.5,0.8,SEC,2021
Kentucky,13,32.3,18.6,28.2,66.1,225.6,1.8,37.8,199.8,5.3,2.1,65.9,425.4,6.5,10.5,10.8,1.5,22.8,4.8,42.2,0.8,1,1.8,SEC,2021
Arkansas,13,30.9,15.8,24.2,65.3,213.9,1.7,44.7,229.4,5.1,2,68.8,443.3,6.4,8,12.5,1.4,21.8,8,63.5,0.4,0.4,0.8,SEC,2021
Florida,13,30.7,20.4,32,63.7,254.2,2,37.8,209.9,5.5,1.9,69.8,464.1,6.6,11.4,9.6,1.2,22.2,8.1,71,0.2,1.4,1.6,SEC,2021
Texas A&M,12,29.3,17.3,30.8,56.4,208.6,1.6,34.3,183.8,5.4,1.4,65.1,392.4,6,9.9,9.8,1.3,21,6.4,55.1,0.3,1.1,1.3,SEC,2021
Mississippi State,13,29.1,39.8,54.2,73.6,378.3,2.8,20.8,63.2,3,0.8,74.9,441.5,5.9,18.2,5.4,2.2,25.7,7.5,57.2,0.7,0.7,1.4,SEC,2021
Missouri,13,29.1,23.2,34.9,66.3,233.5,1.4,35.6,180.3,5.1,1.6,70.5,413.8,5.9,10.7,9.1,1.9,21.7,6.4,59.2,0.2,0.8,1,SEC,2021
Auburn,13,28.3,20.5,34.8,58.9,240.1,1.3,33.8,162.4,4.8,1.7,68.7,402.5,5.9,10.9,8.5,1.5,20.9,5.7,46.4,0.6,0.3,0.9,SEC,2021
LSU,13,26.5,20.2,34.1,59.1,254.5,2.5,34.2,114.5,3.4,0.7,68.2,368.9,5.4,10.8,7,1.6,19.4,4.3,34.3,0.4,0.8,1.2,SEC,2021
South Carolina,13,22.6,16.2,27.7,58.6,201.2,1.7,35.8,137.2,3.8,0.7,63.5,338.3,5.3,8.1,8,1.7,17.8,5.8,45.9,1,0.8,1.8,SEC,2021
Vanderbilt,12,15.8,18.8,34.1,55.3,189.3,1.1,35.3,123.5,3.5,0.7,69.3,312.8,4.5,8.7,7,1.9,17.6,5.5,44,0.4,1.2,1.6,SEC,2021
USC,14,41.4,24.6,36.8,67,335.4,3.1,33.8,171.1,5.1,2.1,70.6,506.6,7.2,13.9,9.9,1.9,25.6,6.3,58,0.1,0.4,0.5,PAC-12,2022
Washington,13,39.7,28.7,44.2,64.9,369.8,2.5,30.8,146,4.7,2.5,75,515.8,6.9,17.1,8.7,1.5,27.2,6.8,60.5,0.2,0.7,0.8,PAC-12,2022
UCLA,13,39.2,22.5,32.3,69.5,266.4,2.2,39.5,237.2,6,2.8,71.8,503.6,7,12.2,12.2,1.4,25.7,6.5,52.5,0.7,0.9,1.6,PAC-12,2022
Oregon,13,38.8,23.7,33.2,71.3,284.8,2.3,39.1,215.8,5.5,2.6,72.3,500.5,6.9,12.2,12.7,1.6,26.5,6.8,57.2,0.2,0.7,0.9,PAC-12,2022
Utah,14,38.6,20.6,31.9,64.6,249.2,2.2,40,217.6,5.4,2.7,71.9,466.9,6.5,11.1,12.5,2.4,26.1,4.5,40.2,0.6,0.7,1.3,PAC-12,2022
Oregon State,13,32.2,15.5,24.8,62.4,199.5,1.2,40.3,196.5,4.9,2.8,65.1,396,6.1,9.5,11.3,1.6,22.4,6,54.7,0.4,1,1.4,PAC-12,2022
Arizona,12,30.8,23.6,38.3,61.7,318.4,2.2,29.3,143.5,4.9,1.6,67.6,461.9,6.8,14.2,8.2,1.8,24.2,5.4,50,0.7,1.1,1.8,PAC-12,2022
Arizona State,12,26.1,22.5,33.6,67,251.9,1.5,32.1,135.3,4.2,1.8,65.7,387.2,5.9,12.1,7.3,1.8,21.3,7.3,72.3,0.8,0.8,1.5,PAC-12,2022
Washington State,13,26.1,24.8,38.5,64.6,253.8,1.8,28.2,106.8,3.8,1.3,66.7,360.7,5.4,11.5,6.5,1.9,19.8,5.4,45.3,0.7,0.7,1.4,PAC-12,2022
California,12,23.9,24.3,38.8,62.4,268,1.9,26.6,96.6,3.6,0.8,65.4,364.6,5.6,11.6,5.7,2,19.3,5.3,44.6,0.3,0.8,1,PAC-12,2022
Stanford,12,21.3,22.9,37.3,61.4,254.3,1.3,31.3,107.3,3.4,1.2,68.7,361.6,5.3,12.1,6.5,2.2,20.8,4.6,41.3,1.2,0.7,1.8,PAC-12,2022
Colorado,12,15.4,14.9,30,49.7,172.9,0.8,32.3,108.3,3.4,0.9,62.3,281.3,4.5,7.2,7.2,1.6,15.9,5.3,48.3,1,0.8,1.8,PAC-12,2022
Florida State,13,36.1,19.2,30.4,63,270.2,2.2,39.2,214.1,5.5,2.5,69.5,484.2,7,11,11.2,2,24.2,6.7,59.1,0.5,0.5,1.1,ACC,2022
Wake Forest,13,36.1,23.2,36.4,63.8,311.9,3.3,38.8,130.5,3.4,1.3,75.2,442.4,5.9,14.8,8.2,2.4,25.4,4.8,40.2,0.5,1,1.5,ACC,2022
North Carolina,14,34.4,24.6,37.6,65.4,309.3,2.7,36.3,153.5,4.2,1.7,73.9,462.8,6.3,13.9,8.9,1.9,24.7,6.1,55.3,0.5,0.5,1,ACC,2022
Clemson,14,33.2,21.3,34.3,62.1,232.4,1.7,39,177.9,4.6,2.2,73.3,410.3,5.6,10.4,10.2,2.4,22.9,5.4,48.2,0.9,0.7,1.6,ACC,2022
Duke,13,32.8,19.6,30.8,63.8,231.5,1.5,37.2,184.2,4.9,2.4,68,415.7,6.1,9.8,9.8,2.1,21.8,5.2,50.5,0.3,0.5,0.8,ACC,2022
Pitt,13,31.3,17.2,30.1,57,222.8,1,40.1,183,4.6,2.3,70.2,405.8,5.8,9.2,11.2,1.1,21.5,7.4,63.7,0.7,0.8,1.5,ACC,2022
Syracuse,13,27.7,17.5,28.5,61.6,231.9,1.5,34.2,142.5,4.2,1.6,62.6,374.4,6,10.7,7.8,1.8,20.3,8.5,63,0.3,0.7,1,ACC,2022
Louisville,13,26.9,16.8,28.3,59.2,205.5,1,39.8,200.6,5,1.9,68.2,406.2,6,9.6,8.9,1.8,20.3,6.9,66,0.9,0.9,1.8,ACC,2022
North Carolina State,13,24.3,20.7,36.2,57.1,226.1,1.8,34,113.8,3.3,0.6,70.2,339.8,4.8,10.5,7.4,2.5,20.4,7.3,57.5,0.6,0.6,1.2,ACC,2022
Miami (FL),12,23.6,21.3,34.4,61.7,239,1.5,34.4,127.9,3.7,1,68.8,366.9,5.3,10.9,8.3,2.1,21.3,7.1,60,1.1,1,2.1,ACC,2022
Virginia Tech,11,19.3,18.5,31.5,58.7,203.3,0.8,35.3,110.2,3.1,1.4,66.7,313.5,4.7,9,6.5,2,17.5,7.4,58.5,0.5,0.8,1.4,ACC,2022
Boston College,12,17.8,21.8,36.7,59.5,247.1,1.8,30.2,62.8,2.1,0.5,66.8,309.8,4.6,10.1,5.4,1.3,16.8,6,48.5,1,1.2,2.2,ACC,2022
Georgia Tech,12,17.2,18.3,31.8,57.5,192.2,0.8,35.5,132.7,3.7,1.1,67.3,324.8,4.8,8.9,7.2,1.6,17.7,5.8,51.9,0.3,0.8,1.1,ACC,2022
Virginia,10,17,18.5,34.1,54.3,221,0.7,32.9,123.1,3.7,1.3,67,344.1,5.1,9.2,7.4,2.5,19.1,7,62.2,1,1.2,2.2,ACC,2022
TCU,15,38.8,19.5,30.3,64.3,261.7,2.2,37.7,193.3,5.1,2.5,68,455,6.7,10.3,9.4,1.5,21.1,4.8,49.6,0.5,0.5,1.1,BIG-12,2022
Kansas,13,35.6,18.6,28.5,65.2,254.4,2.5,34.3,184.2,5.4,2.2,62.8,438.6,7,11.3,7.8,1.4,20.5,5.3,46.5,0.8,0.6,1.5,BIG-12,2022
Texas,13,34.5,19.1,31.2,61.2,241.4,1.7,36.2,188.2,5.2,2.2,67.3,429.5,6.4,11.3,9.5,2.1,22.9,6.1,47.3,0.4,0.5,0.9,BIG-12,2022
Texas Tech,13,34.2,26.8,43.8,61.2,302.5,2,40.4,158.9,3.9,2.2,84.2,461.4,5.5,13.9,10.5,2.2,26.5,5.7,44.3,0.5,1.4,1.9,BIG-12,2022
Oklahoma,13,32.8,19.3,31.3,61.7,254.6,2.1,44.7,219.4,4.9,2.2,76,474,6.2,10.6,11.9,1.3,23.8,5.7,50.2,0.5,0.6,1.2,BIG-12,2022
Kansas State,14,32.3,17.3,27.8,62.2,210.5,1.5,40.6,208.3,5.1,2.3,68.4,418.8,6.1,9.4,9.5,1.1,20.1,5.3,42.9,0.4,0.4,0.9,BIG-12,2022
Baylor,13,32.2,19,30.2,63,231.5,1.5,41.2,182.4,4.4,2.6,71.3,413.8,5.8,10.6,10.3,1.8,22.8,4.8,41.1,0.5,0.8,1.3,BIG-12,2022
Oklahoma State,13,30.6,22.5,40.3,55.7,279.5,1.8,36.6,125.5,3.4,1.5,76.9,405.1,5.3,12.5,7.7,2.1,22.2,3.5,33.5,0.5,1.4,1.8,BIG-12,2022
West Virginia,12,30.6,21.2,35.4,59.8,227.5,1.7,37.1,171.5,4.6,2,72.5,399,5.5,10.9,9.3,3.1,23.3,6.4,53,0.6,1,1.6,BIG-12,2022
Iowa State,12,20.2,26.1,39.9,65.3,261.8,1.6,32.8,108,3.3,0.8,72.7,369.8,5.1,12.8,6.1,1.6,20.4,5.6,46.1,0.6,1.3,1.8,BIG-12,2022
Ohio State,13,44.2,21.1,31.5,66.8,298.3,3.2,35.8,192.4,5.4,2.3,67.4,490.7,7.3,13.2,8.7,2,23.8,5.6,48,0.3,0.5,0.8,BIG-TEN,2022
Michigan,14,40.4,17,26.4,64.3,219.9,1.7,42.9,238.9,5.6,2.9,69.3,458.8,6.6,9.3,12.6,1.4,23.3,4.1,32,0.3,0.4,0.7,BIG-TEN,2022
Penn State,13,35.8,20.8,32.5,64,252.5,2.2,37.6,181.1,4.8,2.2,70.1,433.6,6.2,11.8,7.9,1.7,21.4,5.3,48.3,0.6,0.5,1.2,BIG-TEN,2022
Maryland,13,28.2,22.6,34.3,65.9,260.2,1.6,36.1,141.3,3.9,1.8,70.4,401.5,5.7,11.5,7.2,1.5,20.2,7.8,71.1,0.5,0.6,1.2,BIG-TEN,2022
Minnesota,13,28.2,13.2,21.6,61.2,182.2,0.9,44.7,207.3,4.6,2.5,66.3,389.5,5.9,8.1,12.5,1.1,21.6,3.5,31.8,0.3,0.7,1,BIG-TEN,2022
Purdue,14,26.6,26.4,41.6,63.3,278.8,1.9,33.3,121,3.6,1.2,74.9,399.8,5.3,12.7,7.9,2.4,23.1,5.4,53.6,0.4,1.2,1.6,BIG-TEN,2022
Wisconsin,13,26.3,14.5,25.1,57.7,183.8,1.6,38.5,179.8,4.7,1.6,63.6,363.6,5.7,8.5,7.9,1.6,18,6.2,57.8,0.5,0.8,1.4,BIG-TEN,2022
Michigan State,12,24.4,21.5,34.3,62.6,240,1.9,30.1,113,3.8,1.3,64.4,353,5.5,11.2,6.7,2.3,20.2,5.8,54.9,0.3,1,1.3,BIG-TEN,2022
Illinois,13,24.2,21.2,30.4,69.6,211.8,1.2,41.8,166.2,4,1.4,72.2,378,5.2,10.4,8.9,1.8,21.1,6.5,61.4,0.9,0.4,1.3,BIG-TEN,2022
Indiana,12,23.3,21.8,40.3,54,217.4,1.3,33,110.8,3.4,1.3,73.3,328.3,4.5,9.8,6.8,2.7,19.2,5,45.3,0.4,1.1,1.5,BIG-TEN,2022
Nebraska,12,22.6,17.1,28.3,60.3,220.8,1.4,35,123.3,3.5,1.4,63.3,344.2,5.4,9.3,7,1.8,18.1,5.4,42.5,0.5,1.1,1.6,BIG-TEN,2022
Iowa,13,17.7,14.8,26.8,55,156.7,0.5,32.5,94.8,2.9,0.9,59.3,251.5,4.2,7.2,5.5,1.1,13.8,4.1,32.7,0.8,0.5,1.3,BIG-TEN,2022
Rutgers,12,17.4,14,27.7,50.6,153.9,0.9,35.8,127.8,3.6,0.9,63.5,281.7,4.4,6.9,7.2,0.8,14.8,7.8,64.2,0.5,1.2,1.7,BIG-TEN,2022
Northwestern,12,13.8,20.4,34.8,58.8,210.3,0.8,39.1,125.1,3.2,0.9,73.8,335.4,4.5,9.5,7.8,1.7,19,4.6,40.8,1.2,1.4,2.6,BIG-TEN,2022
Tennessee,13,46.1,22.3,32.5,68.7,326.1,2.9,40.2,199.5,5,3.1,72.7,525.5,7.2,11.9,10.3,3.2,25.4,8.1,69.6,0.6,0.2,0.8,SEC,2022
Alabama,13,41.1,21.5,33.7,63.9,281.5,2.8,35.2,195.5,5.6,2,68.9,477.1,6.9,12.6,9.3,1.9,23.8,7.9,68.7,0.6,0.6,1.2,SEC,2022
Georgia,15,41.1,22.4,32.9,68.2,295.9,2.1,37.1,205.3,5.5,2.9,70,501.2,7.2,13.8,9.9,1.3,25.1,4.4,44.9,0.7,0.5,1.2,SEC,2022
LSU,14,34.5,23,34.3,67.1,269.3,1.6,36.9,183.9,5,2.8,71.2,453.1,6.4,12.6,9.9,2.1,24.7,6.1,54.3,0.8,0.5,1.3,SEC,2022
Ole Miss,13,33.5,18.4,29.8,61.8,239.8,1.7,47.2,256.6,5.4,2.5,77,496.4,6.4,9.8,13.5,1.9,25.2,6.8,63.5,0.7,0.9,1.6,SEC,2022
Arkansas,13,32.5,17.8,27.5,64.7,233.8,2,46.5,236.7,5.1,2.1,74,470.5,6.4,9.7,12.8,1.4,23.9,6.4,55.5,0.8,0.5,1.4,SEC,2022
South Carolina,13,32.2,21.6,32.4,66.7,260,1.8,31.6,118.8,3.8,2.1,64,378.8,5.9,9.7,7.3,2,19,6.9,63.8,1,1.1,2.1,SEC,2022
Mississippi State,13,31.6,32.9,48.8,67.5,311.2,2.8,22.7,81.7,3.6,0.9,71.5,392.9,5.5,15.2,5.4,2.2,22.8,6.3,60.8,0.8,0.7,1.5,SEC,2022
Florida,13,29.5,15.3,28.2,54.4,223.8,1.4,36.3,200.2,5.5,2.2,64.5,424.1,6.6,9.9,8.7,1.4,20,6.8,50.1,0.4,0.7,1.1,SEC,2022
Auburn,12,24.8,13.3,25.7,51.6,172.7,0.8,40.7,205.8,5.1,2.1,66.3,378.5,5.7,7.3,10,0.8,18.1,7.5,57.3,0.9,1,1.9,SEC,2022
Missouri,13,24.8,19.3,30.5,63.4,214.1,1.1,37.7,155.7,4.1,1.5,68.2,369.8,5.4,9.5,7.8,1.4,18.6,7.8,63.7,0.9,0.7,1.6,SEC,2022
Vanderbilt,12,24.6,16.7,28.8,57.8,187.3,1.8,37.1,159.9,4.3,1.1,65.9,347.3,5.3,7.8,7.8,1.9,17.5,5.3,46.1,1,0.5,1.5,SEC,2022
Texas A&M,12,22.8,18.3,32.6,56.3,219.4,1.5,30.5,141.5,4.6,1,63.1,360.9,5.7,9.2,7.8,2.5,19.5,6.3,49.1,0.9,0.5,1.4,SEC,2022
Kentucky,13,20.4,17.2,26.8,64.2,208.5,1.6,35.6,116.2,3.3,0.7,62.5,324.7,5.2,8.9,6.9,1.8,17.6,5.7,39.5,0.5,1,1.5,SEC,2022
Oregon,13,44.2,28,36.3,77.1,342.8,3.4,31.4,183.8,5.9,2.5,67.7,526.6,7.8,14.8,10.1,1.5,26.5,7,63.7,0.2,0.4,0.5,PAC-12,2023
USC,12,41.8,24.3,35.7,68,329.8,2.6,28.6,139.9,4.9,2.8,64.3,469.7,7.3,14,7.1,1.8,22.9,7.9,71.4,0.9,0.4,1.3,PAC-12,2023
Washington,13,37.7,24.6,37.2,66.1,343.8,2.7,27.7,125.2,4.5,2,64.9,469.1,7.2,14.5,6.8,2.3,23.6,7.8,73.8,0.5,0.8,1.3,PAC-12,2023
Arizona,12,34.3,25.7,35.5,72.3,304.5,2.8,31,148.9,4.8,1.3,66.5,453.4,6.8,13.4,8.5,1.8,23.7,6.5,54.1,0.3,0.8,1.1,PAC-12,2023
Oregon State,12,33.8,17.1,29.3,58.2,246.1,2.1,35.8,180.8,5.1,2.2,65.1,426.9,6.6,11.1,10.2,1.2,22.4,5.8,52.6,0.4,0.6,1,PAC-12,2023
Washington State,12,31.7,28.3,42.5,66.7,336.8,2.3,28.5,84.8,3,1.4,71,421.7,5.9,14.1,6.5,1.9,22.5,6.1,49.7,1,0.8,1.8,PAC-12,2023
California,12,31.6,19.7,33.4,58.9,214.6,1.8,38.8,181.1,4.7,2.1,72.2,395.7,5.5,10.2,9.1,2.8,22,5.4,44,0.9,1.1,2,PAC-12,2023
Colorado,12,28.2,26.9,39.5,68.1,294.7,2.4,29.8,68.9,2.3,1,69.3,363.6,5.2,12.8,5.8,2.6,21.2,8.9,71.2,0.6,0.3,0.9,PAC-12,2023
UCLA,12,25.8,18.2,31.8,57.1,229.1,1.8,40.9,191.1,4.7,1.6,72.8,420.2,5.8,10.7,9.8,1.4,21.8,6.7,55.5,0.7,1.2,1.8,PAC-12,2023
Utah,12,24.5,15,26.2,57.3,173.6,1.3,42.6,186.3,4.4,1.5,68.8,359.8,5.2,7.5,10.3,1.5,19.3,5.2,42.6,0.1,0.8,0.8,PAC-12,2023
Stanford,12,20.6,19.4,35.4,54.8,233,0.9,34.4,118.4,3.4,1.3,69.8,351.4,5,10.1,6.8,2.7,19.6,6.4,59.1,0.3,0.8,1.2,PAC-12,2023
Arizona State,12,17.8,20.3,36.7,55.2,210.3,0.7,31.2,111.9,3.6,1.4,67.8,322.3,4.8,9.2,7.5,2.1,18.8,5.7,51.4,0.5,1.2,1.7,PAC-12,2023
Florida State,13,37,19.2,31.2,61.6,259.5,1.9,33.6,156.8,4.7,2.5,64.8,416.3,6.4,11.2,7.1,2,20.2,6.3,57.5,0.2,0.2,0.4,ACC,2023
North Carolina,12,36.6,22.8,36.1,63.3,306.8,2.1,38.1,197.1,5.2,2.3,74.2,503.9,6.8,12.3,10.8,1.9,25,7.1,66.8,0.4,0.8,1.2,ACC,2023
Miami (FL),12,32.1,21.9,33.8,64.9,264.4,1.8,34,176.8,5.2,1.8,67.8,441.2,6.5,11.8,8.7,1.6,22,6.2,58.8,0.7,1.1,1.8,ACC,2023
Georgia Tech,12,31.2,18.7,30.5,61.2,232,2.2,36.6,197.1,5.4,1.8,67.1,429.1,6.4,10.1,10.5,1.8,22.4,5.2,45.6,0.3,1.3,1.7,ACC,2023
Louisville,13,30.9,18.8,29.5,64,244,1.7,37.5,175.3,4.7,2.1,67,419.3,6.3,10.5,8.7,1.5,20.8,5.7,49,0.4,0.9,1.3,ACC,2023
Clemson,12,29.2,22.7,36.1,62.8,225.4,1.7,40.4,180.3,4.5,1.7,76.5,405.7,5.3,11.3,10.3,1.8,23.3,4.8,43.2,1.1,0.7,1.8,ACC,2023
Virginia Tech,12,28.6,16,28,57.1,210.9,1.8,37.3,175.4,4.7,1.4,65.3,386.3,5.9,8.6,9.4,1.4,19.4,6.4,59.8,0.7,0.4,1.1,ACC,2023
Duke,12,27.8,15.1,27.3,55.2,180.7,1.2,34.2,168.9,4.9,2.1,61.5,349.6,5.7,9,7.5,2.3,18.8,5.6,45.4,0.5,0.6,1.1,ACC,2023
North Carolina State,12,26.8,17.5,29.2,60,196.4,1.6,37.1,149.9,4,1.4,66.3,346.3,5.2,9,7.9,1.8,18.7,6,48.8,0.3,0.9,1.2,ACC,2023
Syracuse,12,25.5,15.2,24.3,62.3,173.7,1.4,40.7,185,4.5,1.7,65,358.7,5.5,7.5,9.3,1.8,18.7,7.3,62.6,0.6,1.1,1.7,ACC,2023
Boston College,12,25,16.1,28.6,56.3,189.2,1.3,42.2,193.5,4.6,1.8,70.8,382.7,5.4,7.7,12.3,1.8,21.7,6.6,56.4,0.4,1.1,1.5,ACC,2023
Virginia,12,23.3,20.7,33,62.6,250.8,1.6,37.8,117.9,3.1,1,70.8,368.8,5.2,10.6,8.4,2,21,6.5,55.3,0.5,1.2,1.7,ACC,2023
Wake Forest,12,20.3,16.2,26.8,60.4,197.3,1.2,39,130.4,3.3,1.1,65.8,327.8,5,8.8,8.8,2.4,20,4.1,38.8,0.9,0.9,1.8,ACC,2023
Pitt,12,20.2,16,30,53.3,216,1.4,29.7,101.9,3.4,0.8,59.7,317.9,5.3,8.4,6.1,1.8,16.3,7.8,64.4,0.8,1,1.8,ACC,2023
